reviewerId,text,rate,publishedAtDate,isLocalGuide,placeId
102141066978812899627,,5,2024-09-02T18:06:20.458Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
108137596138561100078,,5,2024-08-21T09:02:28.067Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
105095408519357652801,,5,2024-10-02T10:03:42.622Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
107601804486055934624,"ini yg kamu namain americano?
perbedaan americano beli kopi dan pesen kopi
jauh bet, rasa americano beli kopi campah banget (kaya ampas kopi yg udah di seduh di seduh lagi)
ga recomended ya,
harap di perbaiki lagi!",1,2024-10-01T07:00:50.039Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
111270341911785945189,"Mau komen beli kopi di kepatihan tapi gak ada gmapsnya yaudah disini aja komennya.
Lin nya (angkutan umum) bener2 parkir se enak jidat 😭 kyaknya milik warga daerah situ tapi apa pantes parkir di depan toko nya orang. Semoga beli kopi bisa negur karna kesusahan waktu mau belok, karna ini tempat aku galau sendirian disni.",4,2024-09-24T12:53:01.578Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
104248331103484149132,,4,2024-09-15T15:09:22.828Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
116595324762535856012,,4,2024-09-06T10:33:56.897Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
100354174070611739827,"Menunggu pelayanan nya lama, karena menunggu pergantian shift.",1,2024-09-06T06:43:43.841Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
102318863402861419594,,3,2024-08-28T06:06:03.400Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
109698385463356187876,,5,2024-08-22T01:39:41.258Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
111507843903040312709,Biasa ajaa,5,2024-08-21T06:34:13.979Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
116997687147314757295,,5,2024-08-17T06:18:18.663Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
115977041586902890451,,5,2024-08-11T17:33:39.275Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
107378756329541034367,,4,2024-08-04T11:11:46.294Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
113813214027052221513,"Pelayanan oke
Suasana oke
Harga masih oke start masih ada yg di bwh 10rb
Waktu kesana sekitar jam 7 an masih lumayan sepi jd enak aja
Ada toilet

Aku pesen caramel macchiato 12k sama cheese milk tea 10k. Ternyataa si caramel lbh masuk ke seleraku.
Kebetulan jg ini baru pertama kali coba beli kopi pdhl tinggal di jbr wkwk

Adakah menu kopi rekomendasi dr kalian yg hrs aku coba?",5,2024-08-02T14:45:55.032Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
100689845700050594282,,5,2024-08-01T14:27:36.668Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
108620858420076856562,"untuk makanan dan minuman enak, tp untuk pelayanan yg kurang apalagi waktu ganti shift gatau sebenernya butuh waktu brp lama?? aku pernah hampir 15 menitan",3,2024-07-18T13:47:09.523Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
110541996627471584562,,5,2024-07-16T06:08:24.333Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
106991800830681785833,,5,2024-07-11T13:22:46.794Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
110993133359766789708,,5,2024-07-06T14:50:42.910Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
117120125509344926306,"slalu beli kopi disinii, harganya murah bgtt, jam 10 mlam ksana trnyata udh mau tutup tp gpp ttp suka",5,2024-07-03T04:12:55.528Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
106787749103882144240,,5,2024-07-01T14:10:28.381Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
100667377440649625500,,5,2024-08-16T15:24:34.113Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
101057738150503146516,,5,2024-07-21T10:03:29.699Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
102317699389908153451,,5,2024-07-15T22:46:28.231Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
104061462824660571820,,5,2024-07-02T15:58:46.911Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
106190962092301755134,,4,2024-06-30T13:19:37.199Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
107053756682588172528,,4,2024-05-30T16:00:42.527Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
112975232485369292985,Selalu mantab,5,2024-05-23T00:37:48.794Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
109986123914172339738,"semua kopinya enak,, mixologynya dapet semua,, penikmat kopi wajib merapat!",5,2024-04-28T12:06:56.834Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
102896682056233149363,,5,2024-04-26T02:13:43.855Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
101878268132421214693,,5,2024-04-20T15:25:04.312Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
117631959406163035775,,5,2024-04-18T10:54:52.029Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
118065551621226802424,,5,2024-04-17T01:54:21.610Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
114587783789111399571,"GAK ADA LAWAN!

MASIH YANG TERBAIK!",5,2024-04-16T07:01:49.833Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
109980277860144301881,,5,2024-04-04T15:20:52.344Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
108314767055904355122,,5,2024-04-02T09:05:19.472Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
